Name	Set	ImageFile	Type	Faction	Subtitle	Cost	Requires	Provides	Fighting	Power	Body	Rarity	Designators	Text	Script
Arcanomoth	rrtokens	arcanomoth.png	Token	Architects of the Flesh	Metamorphic Abomination	4	{arc}{arc}{arc}	{arc}{tek}	6			Fixed	arcano moth metamorphic abomination	(Cannot be included in Decks) Upgraded. Toughness: 1.	
Crimson Nightmares	rrtokens	crimson_nightmares.png	Token	Architects of the Flesh	Relentless Abominations	5	{arc}{arc}	{arc}	3			Fixed	crimson nightmare relentless abomination	(Cannot be included in Decks) Upgraded. No Max. Toughness: 1. Guts. When an <Abomination> you control is smoked, you may Reload this card. This card gains +1 Fighting for each <Abomination> card in your smoked pile.	
Curfew Enforcers	rrtokens	curfew_enforcers.png	Token	Architects of the Flesh	PubOrd Cops	5	{arc}{arc}{arc}	{arc}	7			Fixed	curfew enforcer pub ord cop	(Cannot be included in Decks) Upgraded. Stun. Toughness: 1. Ambush against turned Characters.	
Shadow of the Jaguar	rrtokens	shadow_of_the_jaguar.png	Token	Ascended	Transformed Martial Artist	3	{asc}{asc}{asc}	{asc}{chi}	5			Fixed	shadow jaguar transformed martial artist	(Cannot be included in Decks) Upgraded. Tactics. Once per turn when a card you control uses Tactics, you may play a {chi} State or {chi} Event at -1 cost.	
Enrico Falcao	rrtokens	enrico_falcao.png	Token	Ascended	Determined Sworn Assassin	6	{asc}{asc}{asc}	{asc}	8			Fixed	enrico falco determined sworn assassin	(Cannot be included in Decks) Upgraded. Unique. Assassinate. Ambush. Toughness: 2 against combat damage.	
Seamus' Apprentices	rrtokens	seamus_apprentices.png	Token	Dragons	Techie Students	3	{dra}{dra}	{dra}{tek}	4			Fixed	seamus apprentice techie student	(Cannot be included in Decks) Upgraded. When this card enters play, draw two cards.	
Kar Bai	rrtokens	kar_bai.png	Token	Dragons	Master Hero	5	{dra}{dra}{dra}{dra}	{dra}	8			Fixed	kar bai master hero	(Cannot be included in Decks) Upgraded. Unique. Independent. Guts. Cannot be intercepted by Characters that do not require resources.	
Rainforest Revolutionaries	rrtokens	rainforest_revolutionaries.png	Token	Guiding Hand	Violet Order Peasants	3	{han}{han}	{han}{chi}	4			Fixed	rainforest revolutionary violet order peasant	(Cannot be included in Decks) Upgraded. Turn and target a <Rainforest> card :: Heal target.	
Path to Enlightenment	rrtokens	path_to_enlightenment.png	Token	Guiding Hand	State	2	{han}{han}{chi}{chi}					Fixed	path enlightenment	(Cannot be included in Decks) Upgraded. Not Cumulative. Subject Character gains Superleap. Turn or pay one Power :: Subject gains +1 Fighting until it leaves play.	
Post-Modern Malcontents	rrtokens	post_modern_malcontents.png	Token	Jammers	Disillusioned Ape Punks	4	{jam}{jam}{jam}	{jam}{tek}	6			Fixed	post modern malcontent disillusioned ape punk	(Cannot be included in Decks) Upgraded. Stun. Unstoppable.	
